Spelare,Position,Mål,Assist,Passningsprocent,Tacklingar,Interceptioner,Skott,Luftdueller,Dribblingar,Räddningar
Kyle Walker,Försvarare,3,5,82,145,71,14,54,7,0
Dani Alves,Försvarare,3,1,79,79,38,16,75,18,0
João Cancelo,Försvarare,3,9,74,139,72,8,31,0,0
Achraf Hakimi,Försvarare,1,9,70,83,51,15,44,7,0
Benjamin Pavard,Försvarare,4,4,70,65,58,4,41,2,0
Theo Hernández,Försvarare,3,9,85,100,56,13,47,4,0
Reece James,Försvarare,0,3,74,125,35,15,40,6,0
Marcelo,Försvarare,3,0,74,72,77,9,73,4,0
César Azpilicueta,Försvarare,3,1,89,144,29,18,77,0,0
Leonardo Bonucci,Försvarare,4,3,85,73,35,1,68,19,0
Giorgio Chiellini,Försvarare,3,1,72,82,52,18,62,4,0
Alessandro Bastoni,Försvarare,3,2,70,82,59,9,62,11,0
Dayot Upamecano,Försvarare,4,1,88,84,42,16,45,7,0
Stefan de Vrij,Försvarare,4,9,79,139,53,18,60,6,0
Marquinhos,Försvarare,3,9,87,124,48,3,44,3,0
Presnel Kimpembe,Försvarare,1,4,78,73,54,16,54,15,0
Eder Militão,Försvarare,3,1,86,145,43,4,31,16,0
Manuel Neuer,Målvakt,0,0,72,6,8,0,7,0,79
Thibaut Courtois,Målvakt,0,0,76,3,8,0,10,4,68
Alisson Becker,Målvakt,0,0,63,8,2,0,16,0,77
Ederson Moraes,Målvakt,0,1,79,2,9,0,19,4,118
Jan Oblak,Målvakt,0,0,71,8,3,0,15,4,102
Keylor Navas,Målvakt,0,0,75,8,6,0,17,4,91
David de Gea,Målvakt,0,1,66,9,4,0,7,4,124
Marc-André ter Stegen,Målvakt,0,1,74,8,9,0,14,3,194
Hugo Lloris,Målvakt,0,0,65,6,7,0,14,0,76
Gianluigi Donnarumma,Målvakt,0,1,61,4,4,0,10,2,185
Petr Čech,Målvakt,0,1,72,0,5,0,8,0,120
Iker Casillas,Målvakt,0,0,72,3,3,0,10,3,68
Oliver Kahn,Målvakt,0,0,71,5,6,0,15,1,139
Fabien Barthez,Målvakt,0,0,66,2,1,0,16,1,197
Jens Lehmann,Målvakt,0,1,67,8,6,0,5,2,141
Gigi Buffon,Målvakt,0,1,84,0,8,0,12,0,166
Pepe Reina,Målvakt,0,1,71,4,5,0,9,2,196
Claudio Bravo,Målvakt,0,1,84,1,8,0,5,0,166
Samir Handanović,Målvakt,0,1,81,2,6,0,13,2,61
Sergio Asenjo,Målvakt,0,1,75,7,5,0,16,3,166
Ronaldo Nazário,Anfallare,17,14,73,25,7,107,37,70,0
Ronaldinho,Anfallare,13,15,86,8,0,78,22,75,0
Zinedine Zidane,Mittfältare,2,10,81,88,56,34,6,19,0
David Beckham,Mittfältare,7,22,90,24,42,10,22,41,0
Andrea Pirlo,Mittfältare,14,21,90,45,34,31,21,22,0
Steven Gerrard,Mittfältare,0,6,88,20,30,57,27,15,0
Frank Lampard,Mittfältare,11,21,84,24,47,12,25,32,0
Xavi Hernández,Mittfältare,4,9,89,93,28,26,25,23,0
Andrés Iniesta,Mittfältare,8,18,80,70,54,22,8,10,0
Claude Makélélé,Mittfältare,0,12,81,91,48,35,6,12,0
